"x","y"
1.04663988880689,2.83569381555031e-05
1.1246108387025,3.19541915019263e-05
1.20258178859811,3.58845632909098e-05
1.28055273849371,4.02140776453639e-05
1.35852368838932,4.51729313227044e-05
1.43649463828493,5.05786743085623e-05
1.51446558818054,5.64479889507377e-05
1.59243653807614,6.31126256116988e-05
1.67040748797175,7.04482445823973e-05
1.74837843786736,7.8395535276461e-05
1.82634938776296,8.71601035809344e-05
1.90432033765857,9.69839608686057e-05
1.98229128755418,0.000107601307924443
2.06026223744979,0.000119037520211751
2.13823318734539,0.000131989486320458
2.216204137241,0.00014598835874603
2.29417508713661,0.000161031658645686
2.37214603703221,0.000177611305008893
2.45011698692782,0.000195831755400944
2.52808793682343,0.000215362187864071
2.60605888671904,0.000236361176470171
2.68402983661464,0.000259777524726293
2.76200078651025,0.000284810270897592
2.83997173640586,0.000311501979221336
2.91794268630147,0.00034085004406886
2.99591363619707,0.000372534722245695
3.07388458609268,0.000406231240126015
3.15185553598829,0.000442445046231695
3.22982648588389,0.000482059057566513
3.3077974357795,0.000524073923272246
3.38576838567511,0.000568541538509405
3.46373933557072,0.000617241130704783
3.54171028546632,0.000668996714910482
3.61968123536193,0.000723628883325157
3.69765218525754,0.000782224204898657
3.77562313515315,0.00084522923650884
3.85359408504875,0.000911555359578491
3.93156503494436,0.000981369487202632
4.00953598483997,0.0010571900014138
4.08750693473557,0.00113678643014409
4.16547788463118,0.00122021697726037
4.24344883452679,0.00130939613401158
4.3214197844224,0.00140384989790727
4.399390734318,0.00150258905537381
4.47736168421361,0.00160636021590337
4.55533263410922,0.00171722910995972
4.63330358400482,0.00183281756359355
4.71127453390043,0.0019531790812229
4.78924548379604,0.00208124997224986
4.86721643369165,0.00221514466655063
4.94518738358725,0.00235420991105475
5.02315833348286,0.00249996770392019
5.10112928337847,0.00265350178002317
5.17910023327408,0.00281255932550144
5.25707118316968,0.00297718254688059
5.33504213306529,0.0031514062282434
5.4130130829609,0.00333157445119956
5.4909840328565,0.00351759633430464
5.56895498275211,0.00371187224821127
5.64692593264772,0.00391407146617856
5.72489688254333,0.00412234854858044
5.80286783243893,0.0043373413322869
5.88083878233454,0.00456227409644752
5.95880973223015,0.0047934408087535
6.03678068212576,0.00503085574699541
6.11475163202136,0.00527777589929344
6.19272258191697,0.00553223690104568
6.27069353181258,0.00579302108587761
6.34866448170818,0.00606152738855563
6.42663543160379,0.00633945897551749
6.5046063814994,0.00662372151308157
6.58257733139501,0.00691431185595909
6.66054828129061,0.00721520686790835
6.73851923118622,0.00752284270770339
6.81649018108183,0.00783674150593248
6.89446113097743,0.00815899720914198
6.97243208087304,0.00848970540334963
7.05040303076865,0.00882655688954345
7.12837398066426,0.00916981764630002
7.20634493055986,0.00952312382175695
7.28431588045547,0.00988240637595489
7.36228683035108,0.0102476403268036
7.44025778024669,0.0106214715594667
7.51822873014229,0.011002522427918
7.5961996800379,0.0113893125572089
7.67417062993351,0.0117827492499469
7.75214157982911,0.0121847885740337
7.83011252972472,0.0125923241965712
7.90808347962033,0.0130053231784599
7.98605442951594,0.0134268013071674
8.06402537941154,0.0138541823215264
8.14199632930715,0.0142867553192096
8.21996727920276,0.0147259231870603
8.29793822909837,0.0151721767145306
8.37590917899397,0.0156233314846701
8.45388012888958,0.0160793493821463
8.53185107878519,0.0165434173084624
8.60982202868079,0.0170121038627931
8.6877929785764,0.0174853436766816
8.76576392847201,0.0179648593964073
8.84373487836762,0.0184499762749983
8.92170582826322,0.0189393216433933
8.99967677815883,0.0194333172924739
9.07764772805444,0.0199337139323222
9.15561867795005,0.0204379994523084
9.23358962784565,0.0209461292195066
9.31156057774126,0.0214599440235696
9.38953152763687,0.0219779536700131
9.46750247753247,0.022499449554972
9.54547342742808,0.0230251494642362
9.62344437732369,0.0235556130990321
9.7014153272193,0.0240891878018717
9.7793862771149,0.0246258244867456
9.85735722701051,0.025167247142389
9.93532817690612,0.025711553265556
10.0132991268017,0.0262585242249473
10.0912700766973,0.0268089529149934
10.1692410265929,0.0273625783359341
10.2472119764885,0.0279184511445822
10.3251829263842,0.0284766429535406
10.4031538762798,0.0290381068035612
10.4811248261754,0.0296013792272639
10.559095776071,0.0301664022222391
10.6370667259666,0.0307337846152525
10.7150376758622,0.0313028820187942
10.7930086257578,0.0318732653731638
10.8709795756534,0.0324450539311149
10.948950525549,0.0330183280620165
11.0269214754446,0.0335924013462408
11.1048924253402,0.0341672100293883
11.1828633752358,0.0347428803354584
11.2608343251314,0.0353189002549161
11.338805275027,0.0358951434480147
11.4167762249227,0.0364714999979675
11.4947471748183,0.0370476528751507
11.5727181247139,0.0376234964418922
11.6506890746095,0.0381989546642954
11.7286600245051,0.0387733606526006
11.8066309744007,0.0393469059869891
11.8846019242963,0.0399195185898235
11.9625728741919,0.0404905505266986
12.0405438240875,0.0410598411829343
12.1185147739831,0.041627628895205
12.1964857238787,0.0421935947784179
12.2744566737743,0.0427566250093538
12.3524276236699,0.0433175692662323
12.4303985735655,0.0438763522428049
12.5083695234612,0.0444314613288913
12.5863404733568,0.0449835084768927
12.6643114232524,0.0455328011808878
12.742282373148,0.0460784671786435
12.8202533230436,0.0466195415436278
12.8982242729392,0.0471572645148562
12.9761952228348,0.047691559742314
13.0541661727304,0.0482197290021665
13.132137122626,0.0487438006880601
13.2101080725216,0.0492638497166322
13.2880790224172,0.0497781407739958
13.3660499723128,0.0502864945128651
13.4440209222084,0.0507902385894258
13.5219918721041,0.0512889038915585
13.5999628219997,0.0517795060825082
13.6779337718953,0.052264925394051
