x,y,Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),code,ref_code
248.105446511732,0.004184876472237,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
273.017869551952,0.00425709854593,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
297.930292592173,0.004019120481228,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
322.842715632393,0.003562925074926,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
347.755138672613,0.003011876037461,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
372.667561712833,0.002452616579098,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
397.579984753054,0.00192912566175,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
422.492407793274,0.001462450340056,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
447.404830833494,0.00106906703079,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
472.317253873714,0.000764143785187,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
497.229676913935,0.000544011363911,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
522.142099954155,0.000387396403983,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
547.054522994375,0.000273251467314,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
571.966946034595,0.00017502437153,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
596.879369074816,8.42331344322696E-05,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
621.791792115036,2.58339882297975E-05,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
646.704215155256,4.64606610520162E-06,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
37.8050726415582,2.14712221359585E-06,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
60.0052176501142,1.86129138183774E-05,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
82.2053626586701,9.90034789991087E-05,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
104.405507667226,0.000342163295844,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
126.605652675782,0.000833161412973,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
148.805797684338,0.001567946763923,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
171.005942692894,0.002458533518394,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
193.20608770145,0.003354467007933,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
215.406232710006,0.004087470667964,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
237.606377718562,0.004546332490742,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
259.806522727118,0.004688533512972,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
282.006667735674,0.004525028884349,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
304.20681274423,0.004121428502919,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
326.406957752786,0.003561908521278,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
348.607102761342,0.002926454912768,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
370.807247769898,0.00229925808303,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
393.007392778454,0.001743772382665,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
415.20753778701,0.001281953544212,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
437.407682795566,0.000913800291641,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
459.607827804122,0.000638128763047,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
481.807972812678,0.000445208003763,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
504.008117821234,0.000310013868305,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
526.20826282979,0.00019596501883,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
548.408407838346,9.31847027890266E-05,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
570.608552846902,2.84492842124059E-05,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
592.808697855458,5.13221075474207E-06,Magnesium (mg/d),2015,Canada excluding territories,Female,51 to 70,13,251
73.2763660802741,2.65795630386595E-06,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
89.7681278443948,2.20409483613386E-05,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
106.259889608515,0.000112138733857,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
122.751651372636,0.000370354395136,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
139.243413136757,0.000864119202924,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
155.735174900877,0.001585855681039,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
172.226936664998,0.002507305060663,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
188.718698429119,0.003567212807987,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
205.210460193239,0.004621736175289,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
221.70222195736,0.00549452059056,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
238.19398372148,0.00603749936678,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
254.685745485601,0.006167535584498,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
271.177507249722,0.005909033789598,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
287.669269013842,0.005357939958917,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
304.161030777963,0.004614563293493,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
320.652792542084,0.003778776085628,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
337.144554306204,0.0029553967089,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
353.636316070325,0.00222211060026,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
370.128077834445,0.00160998411302,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
386.619839598566,0.001127491637169,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
403.111601362687,0.000771417101167,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
419.603363126807,0.000512029962898,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
436.095124890928,0.000301857434344,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
452.586886655049,0.000134626161138,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
469.078648419169,3.94903628145942E-05,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
485.57041018329,7.02344583752441E-06,Magnesium (mg/d),2004,Canada excluding territories,Female,9 to 13,5,243
39.5965622788497,3.07088544992604E-06,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
53.7392988382818,2.55023091456787E-05,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
67.8820353977139,0.000129921310561,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
82.0247719571459,0.000431086998757,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
96.167508516578,0.001017767019093,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
110.31024507601,0.00189445553637,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
124.452981635442,0.003010769935486,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
138.595718194874,0.004254455047077,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
152.738454754306,0.005459667153438,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
166.881191313738,0.006455293348639,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
181.02392787317,0.007089913153638,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
195.166664432602,0.007251408261523,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
209.309400992035,0.006919557484729,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
223.452137551467,0.006211698573561,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
237.594874110899,0.005298510489883,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
251.737610670331,0.004318853890657,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
265.880347229763,0.003371744015492,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
280.023083789195,0.002523865393004,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
294.165820348627,0.001815101279009,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
308.308556908059,0.00126678948147,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
322.451293467491,0.000873909477635,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
336.594030026923,0.000589037099575,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
350.736766586355,0.000351301277776,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
364.879503145787,0.000157551457976,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
379.022239705219,4.62857960871212E-05,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
393.164976264651,8.21855061734895E-06,Magnesium (mg/d),2015,Canada excluding territories,Both,1 to 3,2,240
85.0495987271415,3.23165539435521E-06,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
98.340505621042,2.67231925921162E-05,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
111.631412514942,0.000134946402545,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
124.922319408843,0.000441798389974,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
138.213226302743,0.001028752474394,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
151.504133196644,0.001905230109694,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
164.795040090544,0.0030616794535,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
178.085946984445,0.004414667560783,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
191.376853878345,0.005742878637727,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
204.667760772246,0.006803580146325,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
217.958667666146,0.007456258750542,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
231.249574560047,0.007637622124748,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
244.540481453947,0.007349583030655,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
257.831388347848,0.006689001840117,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
271.122295241748,0.005781586160013,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
284.413202135648,0.004744630045949,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
297.704109029549,0.003715834423079,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
310.995015923449,0.002794474268172,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
324.28592281735,0.002014907373396,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
337.57682971125,0.001398354430412,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
350.867736605151,0.000948576996184,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
364.158643499051,0.000625726059309,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
377.449550392952,0.000368847629874,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
390.740457286852,0.000165476355116,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
404.031364180753,4.88287764144166E-05,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
417.322271074653,8.69723733364358E-06,Magnesium (mg/d),2015,Canada excluding territories,Both,4 to 8,3,241
31.1984023519117,2.17604488116303E-06,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
52.9422248961747,1.88525523241267E-05,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
74.6860474404377,0.000100445260757,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
96.4298699847006,0.000349024710964,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
118.173692528964,0.000857255362757,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
139.917515073227,0.001627584436184,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
161.66133761749,0.002569083767349,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
183.405160161753,0.003518955412495,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
205.148982706015,0.004283549610217,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
226.892805250278,0.004730723744869,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
248.636627794541,0.004825851850547,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
270.380450338804,0.004599463819887,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
292.124272883067,0.004134191324647,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
313.86809542733,0.003536323277327,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
335.611917971593,0.002894660496084,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
357.355740515856,0.002279072431736,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
379.099563060119,0.00173860443472,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
400.843385604382,0.001291075237123,Magnesium (mg/d),2004,Canada excluding territories,Female,71 and over,15,253
