x,y,Nutriment/Item (unité),Year,Région/Province,Sexe,Âge (en années),code,ref_code
23.893639149749898,1.93092609640195e-06,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
48.8060621899701,1.7049928895055898e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
73.71848523019041,9.2162369578604e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
98.6309082704106,0.000322604014419,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
123.543331310631,0.0007920010772489999,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
148.455754350851,0.0014909717233559999,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
173.36817739107101,0.0023216066164810003,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
198.280600431292,0.003138779801141,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
223.193023471512,0.0037944657559059996,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
248.105446511732,0.004184876472237,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
273.017869551952,0.00425709854593,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
297.93029259217303,0.0040191204812279994,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
322.842715632393,0.0035629250749259996,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
347.755138672613,0.0030118760374609997,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
372.66756171283305,0.002452616579098,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
397.57998475305396,0.0019291256617500001,Magnésium (mg/j),2015,Canada excluant les territoires,Hommes,71 ans et plus,14,252
